"","�..Movie.Name","Release.Date","Opening.Day","Opening.Weekend","End.of.Week.1","Lifetime..India.Only..Net.Collection.Crores.in.Release.Year.","�..imdbId","Column1","releaseYear","releaseDate","genre","writers","actors","directors","sequel","FirstWeekIMDBRating"
"16","Aankhen","05-Apr-02","1.2","3.63","6.67","17.48","tt0306434","#N/A",2002,"27-Mar-02","Comedy | Thriller | Crime","Shobhana Desai (play) | Aatish Kapadia (screenplay) | Aatish Kapadia (story) | Aatish Kapadia | Vipul Amrutlal Shah (screenplay) | Vipul Amrutlal Shah (story)","Amitabh Bachchan | Akshay Kumar | Sushmita Sen | Arjun Rampal","Vipul Amrutlal Shah","0",4
"17","Aao Wish Karein","13-11-2009","0N.A","0N.A","0N.A","0.02","tt1538210","#N/A",2009,"13-Nov-09","Comedy | Drama | Fantasy","Glen Barreto (additional screenplay) | Ravinder Manga (dialogue) | Ravinder Manga (story) | Aftab Shivdasani (story)","Aftab Shivdasani | Aamna Shariff | Rati Agnihotri | Tiku Talsania","Glen Barreto","0",1
"18","Aap Ki Khatir","25-Aug-06","1.24","3.59","5.33","6.39","tt0810058","#N/A",2006,"25-Aug-06","Romance","Sunil Munshi","Akshaye Khanna | Priyanka Chopra | Ameesha Patel | Dino Morea","Dharmesh Darshan","0",1
"19","Aap Mujhe Achche Lagne Lage","19-Apr-02","1.09","3.24","5.3","9.59","tt0247911","#N/A",2002,"19-Apr-02","Action | Drama | Romance","Robin Bhatt (story) | Girish Dhamija (dialogue) | Sanjeev Duggal (story)","Hrithik Roshan | Ameesha Patel | Kiran Kumar | Mukesh Tiwari","Vikram Bhatt","0",2
"20","Aarakshan","12-08-2011","0N.A","16.9","26.52","40.04","tt1848771","#N/A",2011,"12-Aug-11","Drama | Thriller","Prakash Jha | Anjum Rajabali","Amitabh Bachchan | Saif Ali Khan | Manoj Bajpayee | Deepika Padukone","Prakash Jha","0",2
"21","Aashayein","27-08-2010","N.A.","1.25","2.05","2.54","tt1227524","#N/A",2010,"27-Aug-10","Comedy | Drama","Nagesh Kukunoor","John Abraham | Anaitha Nair | Girish Karnad | Farida Jalal","Nagesh Kukunoor","0",1
"22","Aashiq","26-Jan-01","0.9","2.39","4.37","10.34","tt0273406","#N/A",2001,"26-Jan-01","Action | Comedy | Drama","Rajeev Kaul","Bobby Deol | Rahul Dev | Dinesh Hingoo | Vrajesh Hirjee","Indra Kumar","0",3
"23","Aashiqui 2","26-Apr-13","6.25","20.5","38.4","78.42","tt2203308","#N/A",2013,"26-Apr-13","Drama | Music | Musical","Shagufta Rafique","Aditya Roy Kapoor | Shraddha Kapoor | Shaad Randhawa | Salil Acharya","Mohit Suri","1",8
"24","Aashiqui.in","11-02-2011","N.A.","N.A.","N.A.","0.09","tt1814619","#N/A",2011,"11-Feb-11","Drama | Romance","Shankhadeep","Ishaan Manhaas | Dheeraj Miglani | Priti Gandwani | Shubhi Ahuja","Shankhadeep","0",1
"25","Aatma","22-Mar-13","N.A.","N.A.","N.A.","8.78","tt2389974","#N/A",2013,"22-Mar-13","Drama | Horror | Thriller","Sudarshana Dwivedi (dialogue) | Suparn Verma (dialogue) | Suparn Verma (story) | Suparn Verma","Jaideep Ahlawat | Bipasha Basu | Padam Bhola | Darshan Jariwala","Suparn Verma","0",2
"26","Aazaan","14-10-2011","N.A.","N.A.","1.67","2.31","tt2033947","#N/A",2011,"14-Oct-11","Action | Drama | Mystery","Prashant Chadha (story) | Heeraz Marfatia (story) | Shubhra Swarup (story)","Sachiin Joshi | Candice Boucher | Arya Babbar | Samy Gharbi","Prashant Chadha","0",1
"27","Ab Ke Baras","10-May-02","0.4","1.13","1.87","3.09","tt0321067","#N/A",2002,"10-May-02","Adventure | Fantasy | Thriller","Robin Bhatt (screenplay) | Sutanu Gupta (screenplay) | Ravi Rai (dialogue)","Arya Babbar | Amrita Rao | Ashutosh Rana | Shakti Kapoor","Raj Kanwar","0",2
"28","Accident on Hill Road","31-12-2009","N.A.","N.A.","N.A.","0.72","tt1570417","#N/A",2010,"31-Dec-09","Crime | Drama | Thriller","Varun Grover (dialogues) | Rahul Mehta (dialogues) | Mahesh Nair (screenplay) | Sandeep Nath (lyrics) | Siddhaarth Parmar (screenplay)","Farooq Shaikh | Celina Jaitly | Abhimanyu Singh | Rukhsar","Mahesh Nair","0",1
"29","Acid Factory","09-10-2009","0.61","1.93","3.76","3.8","tt1201557","#N/A",2009,"09-Oct-09","Action | Crime | Drama","Milind Gadagkar (screenplay) | Milind Gadagkar (story) | Sanjay Gupta (additional dialogue) | Sanjay Gupta (screenplay) | Saurabh Shukla (dialogue) | Suparn Verma (screenplay)","Fardeen Khan | Dia Mirza | Manoj Bajpayee | Aftab Shivdasani","Suparn Verma","0",1
"30","Action Jackson","05-Dec-14","10.25","29.25","45.16","57.78","tt0403935","#N/A",2014,"05-Dec-14","Action | Drama | Romance","A.C. Mughil | Prabhudheva | Shiraz Ahmed (dialogue)","Sonakshi Sinha | Shahid Kapoor | Ajay Devgn | Sunil Shetty","Prabhudheva","0",2
"31","Action Replayy","05-11-2010","2.75","16.75","23.4","29.06","tt1396208","#N/A",2010,"05-Nov-10","Comedy | Drama | Romance","Irshad Kamil (lyrics) | Aatish Kapadia (dialogues) | Aatish Kapadia (story) | Suresh Nair (story) | Ritesh Shah (dialogues)","Akshay Kumar | Aishwarya Rai Bachchan | Om Puri | Kiron Kher","Vipul Amrutlal Shah","0",2
"32","Agent Vinod","23-Mar-12","9.8","30.15","38.65","43.29","tt1395025","#N/A",2012,"23-Mar-12","Action","Arijit Biswas (story) | Sriram Raghavan (story)","Kareena Kapoor | Saif Ali Khan | Adil Hussain | Gulshan Grover","Sriram Raghavan","0",2
"33","Agneepath","26-Jan-12","23","67.5","91.05","115","tt1849718","#N/A",2012,"26-Jan-12","Action | Crime | Drama","Ila Bedi Dutta (screenplay) | Karan Malhotra (screenplay) | Piyush Mishra (dialogue)","Hrithik Roshan | Priyanka Chopra | Sanjay Dutt | Rishi Kapoor","Karan Malhotra","0",7
"34","Aisha","06-08-2010","3.65","13.43","17.4","17.55","tt1509732","#N/A",2010,"06-Aug-10","Comedy | Drama | Romance","Jane Austen (novel) | Devika Bhagat (screenplay) | Devika Bhagat (dialogue) | Ritu Bhatia (dialogue) | Manu Rishi Chadha (dialogue)","Sonam Kapoor | Abhay Deol | Amrita Puri | Cyrus Sahukar","Rajshree Ojha","0",2
"35","Aiyyaa","12-Oct-12","1.35","4.75","6.25","6.63","tt2255934","#N/A",2012,"12-Oct-12","Comedy","N/A","Rani Mukerji | Prithviraj Sukumaran | Nirmiti Sawant | Subodh Bhave","Sachin Kundalkar","0",1
"36","Ajab Gazabb Love","26-Oct-12","N.A.","4.25","7","7.22","tt2356959","#N/A",2012,"24-Oct-12","Romance","Anvita Dutt (additional screenplay) | Mayur Puri (screenplay) | G. Nageswara Reddy (original story)","Jacky Bhagnani | Nidhi Subbaiah | Darshan Jariwala | Kiron Kher","Sanjay Gadhvi","0",1
"37","Ajab Prem Ki Ghazab Kahani","06-11-2009","6.64","22.52","35.83","64.6","tt1252596","#N/A",2009,"06-Nov-09","Comedy | Romance","K. Rajeshwar (story) | Rajkumar Santoshi (screenplay) | R.D. Tailang (dialogues) | R.D. Tailang (screenplay)","Katrina Kaif | Ranbir Kapoor | Darshan Jariwala | Smita Jaykar","Rajkumar Santoshi","0",7
"38","Ajnabee","22-Sep-01","1.65","4.78","8.07","17.04","tt0278291","#N/A",2001,"21-Sep-01","Crime | Mystery | Thriller","Robin Bhatt (screenplay) | Sanjeev Duggal (screenplay) | Shyam Goel (dialogue) | Shyam Goel (screenplay) | Neeraj Vora (screenplay) | Neeraj Vora (story)","Akshay Kumar | Bobby Deol | Kareena Kapoor | Bipasha Basu","Abbas Alibhai Burmawalla | Mastan Alibhai Burmawalla","0",4
"39","Aks","13-Jul-01","1","2.97","5.15","8","tt0289845","#N/A",2001,"13-Jul-01","Thriller | Mystery","Renzil D'Silva (story) | Rakeysh Omprakash Mehra (screenplay) | Rakeysh Omprakash Mehra (story) | Kamlesh Pandey (dialogue) | Kamlesh Pandey (script)","Amitabh Bachchan | Raveena Tandon | Manoj Bajpayee | Nandita Das","Rakeysh Omprakash Mehra","0",2
"40","Aksar","03-Feb-06","0.95","2.85","4.64","8.58","tt0476729","#N/A",2006,"03-Feb-06","Drama | Romance","Anant Mahadevan (story)","Rajat Bedi | Till DilumiÃ¨re | Udita Goswami | Hendrik Greis","Anant Mahadevan","0",5
"41","Aladin","30-10-2009","0N.A","2.93","4.69","5.82","tt1227762","#N/A",2009,"30-Oct-09","Action | Adventure | Comedy","Vishal Dadlani (lyrics) | Sujoy Ghosh (screenplay) | Suresh Nair (additional story) | Ritesh Shah (dialogue) | Ritesh Shah (story)","Shubhankar Atre | Amitabh Bachchan | Victor Banerjee | Dhaval Barbhaya","Sujoy Ghosh","0",1
"42","Albela","20-Apr-01","0.76","2.34","4.35","10.53","tt0118578","#N/A",2001,"20-Apr-01","Romance","Honey Irani (screenplay) | Honey Irani (story) | Javed Siddiqui (dialogue)","Govinda | Aishwarya Rai Bachchan | Jackie Shroff | Namrata Shirodkar","Deepak Sareen","0",2
"43","Allah Ke Banday","26-11-2010","N.A.","N.A.","N.A.","0.52","tt1292642","#N/A",2010,"26-Nov-10","Action | Crime | Drama","Faruk Kabir | Sarim Momin (lyrics)","Varun Bhagwat | Vikram Gokhale | Zakir Hussain | Bharat Jha","Faruk Kabir","0",1
"44","Aloo Chaat","20-03-2009","0.56","2","3.11","4.86","tt1305840","#N/A",2009,"20-Mar-09","Comedy | Drama | Romance","Robby Grewal (screenplay) | Syed Gulrez (lyrics) | Vipin Mishra (lyrics) | Divy Nidhi Sharma (story) | Xulfi (lyrics)","Aftab Shivdasani | Aamna Shariff | Linda Arsenio | Sanjay Mishra","Robby Grewal","0",2
"45","Always Kabhi Kabhi","17-06-2011","N.A.","N.A.","2.51","2.88","tt1937092","#N/A",2011,"17-Jun-11","Comedy | Crime | Drama","Roshan Abbas (story) | Kanika Dhillon (additional screenplay) | Ishita Moitra (screenplay) | Ranjit Raina (story)","Lillete Dubey | Satyajeet Dubey | Ali Fazal | Manoj Joshi","Roshan Abbas","0",1
"46","Amit Sahni Ki List","18-Jul-14","0.69","2.83","4.36","4.36","tt3822600","#N/A",2014,"18-Jul-14","Comedy | Romance","Rohit G. Banawlikar (screenplay) | Shiv Singh (screenplay)","Vir Das | Anindita Nayar | Natasha Rastogi | Kavi Shastri","Ajay Bhuyan","0",1
"47","Andaaz","23-05-2003","1.44","4.39","6.97","15.94","tt0346507","#N/A",2003,"23-May-03","Drama | Musical | Romance","Robin Bhatt (screenplay) | Shyam Goel (screenplay) | Jainendra Jain (dialogue) | Raj Kanwar (story)","Akshay Kumar | Lara Dutta | Priyanka Chopra | Rajeev Verma","Raj Kanwar","0",6
"48","Angel","11-02-2011","N.A.","N.A.","N.A.","0.06","tt1825655","#N/A",2011,"04-Feb-11","Action | Drama","Muazzam Beg","Sumit Arora | Arun | Raakesh Babu | Prem Kishen Dwivedi","Ganesh Acharya","0",1
"49","Angry Young Man","01-May-14","0N.A","0N.A","0.02","0.02","tt3617048","#N/A",2014,"11-Apr-14","Action","N/A","Ajay Sinh Rathod | Prachi Sinha","Ramesh Rout","0",1
"50","Anjaana Anjaani","01-10-2010","7","20.51","33","40.29","tt1499201","#N/A",2010,"01-Oct-10","Comedy | Drama | Musical","Mamta Anand (story) | Siddharth Anand (dialogue) | Siddharth Anand (screenplay) | Vishal Dadlani (lyrics) | Advaita Kala (screenplay) | Kumaar (lyrics) | Kausar Munir (lyrics)","Priyanka Chopra | Carl Marino | Ranbir Kapoor | Aubrey K. Miller","Siddharth Anand","0",4
"51","Ankur Arora Murder Case","14-Jun-13","0.12","1.05","0N.A","1.05","tt2912578","#N/A",2013,"14-Jun-13","Drama | Thriller","Vikram Bhatt | Shagufta Rafique (dialogue)","Tisca Chopra | Paoli Dam | Arjun Mathur | Kay Kay Menon","Sohail Tatari","0",1
"52","Annarth","01-Nov-02","0.39","1.13","1.83","3","tt0338721","#N/A",2002,"01-Nov-02","Action | Thriller","Ravi Dewan | Imtiaz Hussain (screenplay) | Imtiaz Hussain (story)","Sanjay Dutt | Sunil Shetty | Ashutosh Rana | Preeti Jhangiani","Ravi Dewan","0",1
"53","Anthony Kaun Hai?","04-Aug-06","1.31","3.52","4.98","6.17","tt0800981","#N/A",2006,"04-Aug-06","Comedy | Thriller","Soumik Sen","Sanjay Dutt | Arshad Warsi | Minissha Lamba | Anusha Dhandekar","Raj Kaushal","0",1
"54","Apaharan","02-12-2005","1.9","5.63","8.9","15.66","tt0451631","#N/A",2005,"02-Dec-05","Action | Crime | Drama","Prakash Jha (dialogue) | Prakash Jha (screenplay) | Prakash Jha (story) | Shridhar Raghavan (screenplay) | Anjum Rajabali (script consultant) | Manoj Tyagi (screenplay)","Ajay Devgn | Nana Patekar | Bipasha Basu | Ayub Khan","Prakash Jha","0",5
"55","Apna Sapna Money Money","10-Nov-06","1.94","5.7","8.83","14.4","tt0493437","#N/A",2006,"10-Nov-06","Comedy | Musical | Romance","Sangeeth Sivan (story)","Bobby Darling | Ritesh Deshmukh | Avtar Gill | Vrajesh Hirjee","Sangeeth Sivan","0",5
"56","Apne","29-Jun-07","1.89","6.22","10.34","22.07","tt0814014","#N/A",2007,"29-Jun-07","Drama | Sport","Neeraj Pathak (screenplay) | Neeraj Pathak (story)","Dharmendra | Sunny Deol | Bobby Deol | Shilpa Shetty","Anil Sharma","0",4
"57","Armaan","16-05-2003","0.75","0.05","3.94","6.82","tt0331851","#N/A",2003,"16-May-03","Drama | Family | Romance","Javed Akhtar (dialogue) | Javed Akhtar (screenplay) | Honey Irani (screenplay) | Honey Irani (story)","Amitabh Bachchan | Anil Kapoor | Preity Zinta | Gracy Singh","Honey Irani","0",2
"58","Atithi Tum Kab Jaoge?","05-03-2010","0N.A","11.86","18.93","41.12","tt1578116","#N/A",2010,"05-Mar-10","Comedy | Drama","Robin Bhatt (screenplay) | Ashwani Dhir | Tushar Hiranandani (screenplay) | Amit Mishra (lyrics)","Ajay Devgn | Konkona Sen Sharma | Paresh Rawal | Satish Kaushik","Ashwani Dhir","0",4
"59","Aurangzeb","17-May-13","3.92","12.86","19.6","22.35","tt2804026","#N/A",2013,"17-May-13","Action | Drama | Thriller","Atul Sabharwal (script)","Arjun Kapoor | Prithviraj Sukumaran | Jackie Shroff | Rishi Kapoor","Atul Sabharwal","0",2
"60","Avgat","01-Jun-01","0N.A","0N.A","0.6","1","tt0346548","#N/A",2001,"01-Jun-01","Action | Crime | Drama","N/A","Ajinkya Deo | Nethra Raghuraman | Sayaji Shinde | Rohini Hattangadi","Mohan Sharma","0",1
"61","Awara Paagal Deewana","21-Jun-02","1.53","4.43","7.66","16.02","tt0319020","#N/A",2002,"21-Jun-02","Action | Comedy | Crime","Anand S. Vardhan (story) | Mangesh Kulkarni (story) | Anand S. Vardhan (screenplay) | Mangesh Kulkarni (screenplay) | Neeraj Vora (dialogue)","Akshay Kumar | Sunil Shetty | Aftab Shivdasani | Preeti Jhangiani","Vikram Bhatt","0",4
"62","Awarapan","29-Jun-07","0.79","2.88","4.47","7.76","tt1020937","#N/A",2007,"29-Jun-07","Action | Crime | Drama","Shagufta Rafique (dialogue & screenplay)","Salil Acharya | Emraan Hashmi | J. Brandon Hill | Rehan Khan","Mohit Suri","0",1
"63","Baabul","06-Dec-06","2.23","6.88","10.81","17.32","tt0419468","#N/A",2006,"08-Dec-06","Drama | Family | Romance","Ravi Chopra (story) | Achala Nagar | Sameer (lyrics)","Amitabh Bachchan | Salman Khan | Hema Malini | John Abraham","Ravi Chopra","0",2
"64","Baat Bann Gayi","11-Oct-13","N.A.","N.A.","0.11","0.15","tt2222716","#N/A",2013,"11-Oct-13","Comedy | Romance","Shuja Ali | Akshay Singh","Anisa Butt | Ali Fazal | Gulshan Grover | Razzak Khan","Shuja Ali","0",1
"65","Babloo Happy Hai","07-Feb-14","N.A.","N.A.","0.23","0.29","tt3426144","#N/A",2014,"07-Feb-14","Comedy | Drama | Romance","Sanjay Chauhan | Deepak Venkatesha (additional screenplay & dialogue)","Sahil Anand | Parvin Dabas | Erica Fernandes | Preet Kamal","Nila Madhab Panda","0",1
"66","Bachna Ae Haseeno","15-Aug-08","4.87","13.15","20.07","36.19","tt1182972","#N/A",2008,"15-Aug-08","Comedy | Drama | Romance","Aditya Chopra (story) | Devika Bhagat (screenplay) | Anvita Dutt Guptan (dialogue)","Ranbir Kapoor | Bipasha Basu | Minissha Lamba | Deepika Padukone","Siddharth Anand","0",5
"67","Badhaai Ho Badhaai","14-Jun-02","0.63","1.79","2.72","3.79","tt0325041","#N/A",2002,"14-Jun-02","Comedy | Drama | Musical","Kavita Choudhary","Anil Kapoor | Anang Desai | Rohini Hattangadi | Vinay Jain","Satish Kaushik","0",1
"68","Badlapur Boys","12-Dec-14","0.14","0.43","0.76","0.89","tt2767712","#N/A",2014,"12-Dec-14","Drama","Shailesh Verma","Annu Kapoor | Anupam Maanav | Saranya Mohan | Nishan","Shailesh Verma","0",1
"69","Baghban","03-10-2003","0.9","2.92","5.39","20.65","tt0337578","#N/A",2003,"03-Oct-03","Drama | Romance","Shafiq Ansari (screenplay) | Satish Bhatnagar (screenplay) | B.R. Chopra (story) | Ram Govind (screenplay) | Achala Nagar (dialogue) | Achala Nagar (screenplay)","Amitabh Bachchan | Hema Malini | Aman Verma | Samir Soni","Ravi Chopra","0",6
"70","Bajatey Raho","26-Jul-13","1.2","4.25","6.3","6.37","tt2848824","#N/A",2013,"26-Jul-13","Comedy | Drama | Thriller","Zafar Khan (story) | Akshay Verma (dialogue)","Tusshar Kapoor | Vinay Pathak | Ranvir Shorey | Vishakha Singh","Shashant Shah","0",2
"71","Bandook","18-Jan-13","N.A.","N.A.","0.08","0.096","tt2318401","#N/A",2013,"18-Jan-13","Crime | Thriller","N/A","Manisha Kelkar | Arshad Khan | Ashish Kotwal | Aditya Om","Aditya Om","0",1
"72","Barfi!","14-Sep-12","9.2","34.6","58.6","112.15","tt2082197","#N/A",2012,"14-Sep-12","Adventure | Comedy | Drama","Anurag Basu (story) | Tani Basu (story) | Sanjeev Dutta (dialogue)","Ranbir Kapoor | Priyanka Chopra | Ileana | Saurabh Shukla","Anurag Basu","0",7
"73","Benny and Babloo","01-10-2010","0N.A","0N.A","0N.A","8.46","tt1740662","#N/A",2010,"01-Oct-10","Comedy | Drama","Shabbir Ahmed (lyrics) | Panchhi Jalonvi (lyrics) | Yunus Sajawal | Farhad Sajid (dialogue)","Kay Kay Menon | Rajpal Yadav | Aashif Sheikh | Shweta Tiwari","Yunus Sajawal","0",1
"74","Besharam","02-Oct-13","21.56","47.69","52.1","59.79","tt2576450","#N/A",2013,"02-Oct-13","Comedy | Romance","Rajeev Barnwal | Abhinav Kashyap","Ranbir Kapoor | Pallavi Sharda | Rishi Kapoor | Neetu Singh","Abhinav Kashyap","0",2
"75","Bewafaa","25-02-2005","1.93","5.62","8.87","16.97","tt0363472","#N/A",2005,"25-Feb-05","Drama","Dharmesh Darshan","Anil Kapoor | Akshay Kumar | Kareena Kapoor | Sushmita Sen","Dharmesh Darshan","0",3
"76","Bewakoofiyaan","14-Mar-14","2.23","7.31","12.77","14.01","tt3483646","#N/A",2014,"14-Mar-14","Comedy | Drama | Romance","Habib Faisal","Ayushmann Khurrana | Sonam Kapoor | Rishi Kapoor | Swedha Singh","Nupur Asthana","0",2
"77","Bhaag Milkha Bhaag","12-Jul-13","8.65","32.3","52.44","108.93","tt2356180","#N/A",2013,"12-Jul-13","Biography | Drama | History","Prasoon Joshi","Farhan Akhtar | Sonam Kapoor | Pavan Malhotra | Art Malik","Rakeysh Omprakash Mehra","0",7
"78","Bhagam Bhag","22-Dec-06","3.43","11.34","20.91","40.38","tt0805184","#N/A",2006,"22-Dec-06","Comedy | Mystery | Romance","Neeraj Vora","Akshay Kumar | Govinda | Paresh Rawal | Lara Dutta","Priyadarshan","0",6
"79","Bhavnao Ko Samjho","15-01-2010","N.A.","N.A.","N.A.","0.02","tt1620697","#N/A",2010,"15-Jan-10","Action | Comedy | Drama","Pancham Banjara (lyrics) | Sunil Pal","Madhu Acharya | Nitin Anand | Dinesh Bawara | Narendra Bedi","Sunil Pal","0",1
"80","Bheja Fry","13-Apr-07","0.27","1.22","2.41","8.98","tt1014672","#N/A",2007,"13-Apr-07","Comedy | Drama","Sagar Ballary (screenplay) | Arpita Chatterjee | Sharat Katariya (dialogue)","Vinay Pathak | Rajat Kapoor | Sarika | Milind Soman","Sagar Ballary","0",6
"81","Bheja Fry 2","17-06-2011","2.05","6.65","8.25","10.5","tt1939654","#N/A",2011,"17-Jun-11","Comedy | Drama","Sagar Ballary (screenplay) | Sharat Katariya (dialogue) | Sharat Katariya (screenplay)","Vinay Pathak | Kay Kay Menon | Minissha Lamba | Rukhsar","Sagar Ballary","1",3
"82","Bhool Bhulaiyaa","12-Oct-07","3.88","14.37","23.5","49.1","tt0995031","#N/A",2007,"12-Oct-07","Comedy | Horror | Mystery","Neeraj Vora (screenplay) | Manisha Korde (dialogue) | Madhu Muttam (original story)","Akshay Kumar | Vidya Balan | Ameesha Patel | Shiney Ahuja","Priyadarshan","0",6
"83","Bhoot","30-05-2003","1.27","3.69","6.43","14.49","tt0341266","#N/A",2003,"30-May-03","Horror | Thriller","Lalit Marathe | Sameer Sharma","Ajay Devgn | Urmila Matondkar | Nana Patekar | Rekha","Ram Gopal Varma","0",6
"84","Bhoot Returns","12-Oct-12","N.A.","3.75","4.75","4.96","tt2406636","#N/A",2012,"12-Oct-12","Horror","N/A","J.D. Chakravarthi | Nitin Jadhav | Manisha Koirala | Madhu Shalini","Ram Gopal Varma","1",2
"85","Bhoothnath","09-May-08","2.45","8.64","13.62","23.89","tt0991346","#N/A",2008,"09-May-08","Comedy | Drama | Fantasy","Sudhanshu Dube (screenplay) | Vivek Sharma (screenplay)","Amitabh Bachchan | Juhi Chawla | Satish Shah | Rajpal Yadav","Vivek Sharma","0",4
"86","Bhoothnath Returns","11-Apr-14","4.07","18.02","30.14","39.54","tt3531852","#N/A",2014,"11-Apr-14","Comedy | Drama | Fantasy","Piyush Gupta | Shreyas Jain (additional script writer) | Nikhil Mehrotra (additional script writer) | Nitesh Tiwari","Amitabh Bachchan | Boman Irani | Parth Bhalerao | Sanjay Mishra","Nitesh Tiwari","1",3
