ï..Movie.Name,Release.Date,Opening.Day,Opening.Weekend,End.of.Week.1,Lifetime..India.Only..Net.Collection.Crores.in.Release.Year.
Haan Maine Bhi Pyaar Kiya,15-Feb-02,0.96,2.81,4.56,8.93
Filhaal,01-Feb-02,0.22,0.65,1.09,1.91
Maa Tujhhe Salaam,25-Jan-02,1.71,4.9,7.72,13.32
Yeh Dil Aashiqanaa,18-Jan-02,0.47,1.47,2.57,6.22
Koi Mere Dil Se Poochhe,11-Jan-02,0.55,1.5,2.4,3.8
Pitaah,04-Jan-02,0.74,2.07,3.19,4.79
Raaz,02-Jan-02,0.79,2.32,4.69,21.46
Ankhiyon Se Goli Maare,01-Jan-02,0.55,1.45,2.15,3.1
LOC Kargil,26-12-2003,2.27,6.43,10.62,17.64
Munnabhai MBBS,19-12-2003,1.06,3.35,6.08,23.13
Fun2ssh,19-12-2003,0.32,1.03,1.73,2.92
Janasheen,28-11-2003,1.37,3.87,6.19,9.79
Kal Ho Naa Ho,28-11-2003,2.17,6.71,12.45,38.55
Out Of Control,21-11-2003,0.72,2.15,3.31,4.77
Pinjar,24-10-2003,0.39,1.08,1.79,3.43
Sssshhh?,24-10-2003,0.46,1.18,1.98,3.64
Khel,03-10-2003,1.01,2.92,4.48,6.99
Baghban,03-10-2003,0.9,2.92,5.39,20.65
Zameen,26-09-2003,1.45,4.22,6.58,11
Boom,19-09-2003,1.27,3.58,5.28,6.23
Parwana,12-09-2003,0.74,2.07,3.1,4.35
Market,12-09-2003,0.32,0.99,1.58,2.81
Kuch Naa Kaho,05-09-2003,0.71,2.22,3.7,6.46
Calcutta Mail,05-09-2003,0.45,1.29,1.95,2.59
Gangaajal,29-08-2003,1.08,3.1,5.22,10.48
Mumbai Se Aaya Mera Dost,22-08-2003,0.52,1.43,2.11,2.48
Footpath,15-08-2003,0.62,1.76,2.74,4.15
Tere Naam,15-08-2003,1.85,4.78,7.74,14.53
Koi Mil Gaya,08-08-2003,2.25,6.45,12.9,47.2
Oops?,01-08-2003,N.A.,N.A.,N.A.,0.01
Chori Chori,01-08-2003,0.48,1.42,2.23,3.15
Hungama,01-08-2003,0.8,2.53,4.45,12.61
Darna Mana Hai,25-07-2003,0.86,2.52,3.84,5.15
Jaal – The Trap,18-07-2003,1.09,2.97,4.62,7.1
Qayamat,11-07-2003,1.87,5.34,9.08,17.46
Hawa,04-07-2003,0.54,1.5,2.38,3.76
Main Prem Ki Diwani Hoon,27-06-2003,1.24,3.81,6.77,17.8
Supari,20-06-2003,0.45,1.25,1.85,2.66
Chalte Chalte,13-06-2003,1.5,4.52,8.23,19.44
Khwahish,06-06-2003,0.35,1.03,1.7,3.34
Nayee Padosan,06-06-2003,0.36,1.1,1.8,3.09
Bhoot,30-05-2003,1.27,3.69,6.43,14.49
Jajantaram Mamantram,30-05-2003,0.32,1.02,1.78,3.65
Andaaz,23-05-2003,1.44,4.39,6.97,15.94
Armaan,16-05-2003,0.75,0.05,3.94,6.82
Ishq Vishk,09-05-2003,0.58,1.8,3.19,7.74
The Hero,11-04-2003,2.22,6.31,10.74,26.23
Saaya,07-04-2003,0.47,1.39,2.17,3.24
Ek Aur Ek Gyarah,28-03-2003,1.1,3.19,5.26,11.71
Om,21-03-2003,0.31,0.88,1.34,2.2
Chura Liyaa Hai Tumne,21-03-2003,0.41,1.18,1.93,3.1
Baaz,07-02-2003,0.43,1.19,1.82,2.81
Khushi,07-02-2003,0.74,2.18,3.76,9.03
Dum,24-01-2003,0.53,1.59,2.76,5.03
Kucch To Hai,24-01-2003,0.7,2.06,3.57,6.78
Jism,17-01-2003,0.67,1.91,3.37,8.14
Dil Ka Rishta,17-01-2003,0.56,1.76,2.89,5.53
Talaash… The Hunt Begins,03-01-2003,0.95,4.39,7.86,7.86
Tujhe Meri Kasam,03-01-2003,0.16,0.61,1.09,8.93
Shikhar,30-12-2005,1.21,3.62,5.27,6.62
Dosti – Friends Forever,23-12-2005,1.28,3.55,5.58,8.77
Vaah! Life Ho Toh Aisi,23-12-2005,0.86,2.51,3.8,5.84
Bluffmaster,16-12-2005,1.6,5.21,8.56,18.28
Neal ‘n’ Nikki,09-12-2005,1.05,2.98,4.4,6.06
Ek Ajnabee,09-12-2005,1.1,3.12,4.68,6.94
Kalyug,09-12-2005,0.68,1.97,3.18,7.21
Apaharan,02-12-2005,1.9,5.63,8.9,15.66
Deewane Huye Paagal,25-11-2005,2.24,6.49,10,15.17
Ek Khiladi Ek Haseena,18-11-2005,0.98,2.68,3.94,4.74
Garam Masala,02-11-2005,3.02,7.11,14.13,29
Kyon Ki,02-11-2005,1.92,4.44,8.08,12.71
Shaadi No.1,02-11-2005,1.82,4.37,7.63,11.49
Hanuman,21-10-2005,0.25,0.9,1.58,5.38
Chocolate,16-09-2005,0.85,2.42,3.7,6.64
Salaam Namaste,09-09-2005,2.15,6.84,11.49,26.2
Aashiq Banaya Aapne,02-09-2005,0.85,2.56,3.89,6.38
No Entry,26-08-2005,1.72,7.98,14.08,44.72
Iqbal,26-08-2005,0.13,0.52,0.98,3.86
Barsaat,19-08-2005,1.59,4.46,6.78,9.91
Mangal Pandey – The Rising,12-08-2005,3.24,9.59,17.37,27.86
Viruddh,22-07-2005,1.17,3.65,5.89,10.07
Maine Pyaar Kyun Kiya,15-07-2005,2.4,6.95,11.56,25.69
Dus,08-07-2005,2.92,8.22,12.82,23.29
Paheli,24-06-2005,2.02,5.76,8.75,12.85
Bach Ke Rehna Re Baba,17-06-2005,0.64,1.79,2.82,3.67
Parineeta,10-06-2005,1.15,3.97,6.77,16.79
D – Underworld,03-06-2005,1,2.8,4.23,5.94
Bunty Aur Babli,27-05-2005,2.68,8.66,14.37,36.25
Naina,20-05-2005,0.68,2.13,3.41,4.83
Jo Bole So Nihaal,13-05-2005,1.6,4.32,6.7,8.22
Kyaa Kool Hai Hum,06-05-2005,0.92,3.21,5.32,15.34
Kaal,29-04-2005,2.71,7.53,11.45,19.09
Waqt – Race Against Time,22-04-2005,1.91,5.78,9.37,20.25
Mumbai Xpress,15-04-2005,0.45,1.38,2.16,3.5
Lucky – No Time For Love,06-04-2005,2.32,6.57,10.15,15.94
Shabd,02-04-2005,0.94,2.61,3.86,5.47
Tango Charlie,25-03-2005,1.15,3.11,4.74,7.16
Zeher,25-03-2005,0.64,2.06,3.45,7.34
Karam,12-03-2005,0.77,2.22,3.41,4.95
Bewafaa,25-02-2005,1.93,5.62,8.87,16.97
Jurm,18-02-2005,0.76,2.13,3.18,4.24
Black,04-02-2005,1.03,3.43,6.47,23.19
Blackmail,28-01-2005,0.81,2.13,3.1,4.14
Kisna,21-01-2005,1.49,4.22,6.59,8.22
Insan,14-01-2005,0.92,2.41,3.72,6.58
Elaan,14-01-2005,1.16,3.06,4.65,7.52
Vaada,07-01-2005,0.95,2.62,3.85,5.41
Sarkar,07-01-2005,2.43,6.86,11.57,24.84
Bhagam Bhag,22-Dec-06,3.43,11.34,20.91,40.38
Kabul Express,15-Dec-06,1.49,4.87,7.21,11.7
Baabul,06-Dec-06,2.23,6.88,10.81,17.32
Dhoom 2,24-Nov-06,5.85,17.41,32,81.01
Vivah,10-Nov-06,0.83,2.84,5.63,31.56
Apna Sapna Money Money,10-Nov-06,1.94,5.7,8.83,14.4
Umrao Jaan,03-Nov-06,1.52,4.27,6.09,7.43
Don – The Chase Begins Again,20-Oct-06,4.65,14.18,24.44,50.35
Jaan-E-Mann,20-Oct-06,2.43,8.02,13.6,25.13
Woh Lamhe,29-Sep-06,0.82,2.68,4.18,6.8
Khosla Ka Ghosla,22-Sep-06,0.26,1.01,1.65,4.59
Rocky – The Rebel,22-Sep-06,0.41,1.33,1.83,2.16
Dor,22-Sep-06,0.14,0.51,0.9,2.7
Shiva,15-Sep-06,0.56,1.52,2.18,2.44
Pyaar Ke Side Effects,15-Sep-06,0.72,2.42,3.91,8.33
Naksha,08-Sep-06,1.39,3.76,5.43,6.61
Dil Diya Hai,08-Sep-06,0.51,1.44,2.06,2.31
Lage Raho Munnabhai,01-Sep-06,3.38,10.95,20.39,74.88
Aap Ki Khatir,25-Aug-06,1.24,3.59,5.33,6.39
Kabhi Alvida Naa Kehna,11-Aug-06,5.18,16.62,27.79,44.41
Anthony Kaun Hai?,04-Aug-06,1.31,3.52,4.98,6.17
Omkara,28-Jul-06,2.78,8.43,13.22,23.22
The Killer,21-Jul-06,0.99,2.73,3.88,4.65
Golmaal,14-Jul-06,2.32,7.54,12.89,29.33
Corporate,07-Jul-06,1.17,3.69,5.89,10.32
Krrish,23-Jun-06,6,17.34,29.3,72.16
Phir Hera Pheri,09-Jun-06,3.28,9.86,17.75,40.8
Chup Chup Ke,09-Jun-06,1.28,4.18,7.08,13.75
Shaadi Se Pehle,04-Jun-06,1.52,4.53,6.92,10.2
Fanaa,26-May-06,3.96,11.74,20.32,51.87
Tom Dick and Harry,12-May-06,1.19,3.48,5.52,9.22
Tathastu,12-May-06,0.43,1.15,1.65,1.94
36 China Town,05-May-06,2.57,7.55,11.93,23.05
Darna Zaroori Hai,28-Apr-06,1.34,3.72,5.37,6.43
Gangster,28-Apr-06,1.07,3.47,5.82,12.67
Pyare Mohan,21-Apr-06,1.89,5.72,8.48,11.8
Hum Ko Deewana Kar Gaye,14-Apr-06,1.9,5.41,8.44,14.13
Saawan – The Love Season,06-Apr-06,0.8,2.14,3.06,3.47
Being Cyrus,24-Mar-06,0.38,1.33,2.21,3.91
Malamaal Weekly,10-Mar-06,1.73,5.91,10.26,26.89
Teesri Aankh – The Hidden Camera,03-Mar-06,0.7,2.19,3.11,4.16
Taxi Number 9211,24-Feb-06,1.61,5.17,8.62,19.59
Fight Club – Members Only,17-Feb-06,1,2.8,4.02,5.48
Mere Jeevan Saathi,03-Feb-06,0.4,1.13,1.69,2.42
Aksar,03-Feb-06,0.95,2.85,4.64,8.58
Rang De Basanti,26-Jan-06,3.12,7.69,15.35,53.08
Zinda,12-Jan-06,1.3,3.63,5.92,10.17
Family – Ties of Blood,12-Jan-06,1.38,3.77,5.7,8.59
Jawani Diwani – A Youthful Joyride,06-Jan-06,0.94,2.58,3.7,4.72
Welcome,27-Dec-07,3.32,16.52,33.41,70.15
Traffic Signal,02-Feb-07,1.04,3.52,5.45,8.48
The Train,08-Jun-07,0.96,3.08,4.37,5.11
Taare Zameen Par,21-Dec-07,2.62,9.65,16.57,61.83
Ta Ra Rum Pum,27-Apr-07,3.66,11.42,18.05,38.45
Shootout At Lokhandwala,25-May-07,3.46,10.68,16.72,29.73
Shakalaka Boom Boom,04-Jun-07,1.29,4.04,5.68,6.78
Salaam-E-Ishq,26-Jan-07,4.19,11.15,16.26,22.68
Saawariya,11-Sep-07,3,11.23,16.86,20.92
Risk,19-Jan-07,0.55,1.78,2.45,2.83
Red,03-Sep-07,0.75,2.36,3.37,3.92
Ram Gopal Varma Ki Aag,31-Aug-07,1.72,4.96,6.98,7.39
Provoked,06-Apr-07,0.28,0.9,1.45,2.41
Om Shanti Om,09-Nov-07,5.53,21.47,36.38,78.17
Nishabd,02-Mar-07,1.15,3.73,5.46,7.53
Nehlle Pe Dehlla,02-Mar-07,0.67,1.95,2.76,3.29
Naqaab,13-Jul-07,2.31,7.1,10.26,12.69
Namastey London,23-Mar-07,2.83,9.04,15.69,37.29
Life In A… Metro,11-May-07,0.87,3.52,6.23,15.83
Laaga Chunari Mein Daag,12-Oct-07,2.02,7.36,11.17,17.51
Kya Love Story Hai,20-Apr-07,0.6,1.89,2.59,2.9
Just Married,16-Mar-07,0N.A,0N.A,3.24,4.17
Johnny Gaddaar,28-Sep-07,0.54,1.87,2.83,4.05
Jhoom Barabar Jhoom,15-Jun-07,4.47,13.93,20.53,27.27
Jab We Met,26-Oct-07,1.75,6.82,11.8,31.06
Honeymoon Travels Pvt Ltd.,23-Feb-07,1.17,3.84,6.09,11.62
Heyy Babyy,24-Aug-07,4.77,15.17,0N.A,24.48
Hattrick,16-Mar-07,0.93,2.91,4.03,4.81
Guru,12-Jan-07,3.37,11.14,18.7,45.49
Good Boy Bad Boy,05-Nov-07,0.97,3.24,4.81,7.25
Gandhi My Father,03-Aug-07,0.46,1.58,2.37,3.42
Fool n Final,01-Jun-07,2.63,8.19,12.47,17.82
Eklavya – The Royal Guard,16-Feb-07,3.19,9.65,13.97,18.88
Dus Kahaniyaan,07-Dec-07,1.2,4.02,5.98,7.78
Dhol,21-Sep-07,1.72,5.56,8.96,16.06
Dhan Dhana Dhan Goal,23-Nov-07,2.05,6.43,9.55,13.87
Dhamaal,07-Sep-07,2.38,8,13.65,32.51
Darling,07-Sep-07,0.58,1.77,2.5,2.91
Cheeni Kum,25-May-07,1,3.97,6.75,17.3
Chak De India,10-Aug-07,3.07,11.53,21.53,66.54
Cash,03-Aug-07,3.73,11.08,15.9,18.57
Buddha Mar Gaya,17-Aug-07,0.62,1.94,2.73,2.95
Black Friday,09-Feb-07,0.47,1.78,2.88,4.76
Big Brother,13-Apr-07,0.82,2.42,3.5,4.94
Bhool Bhulaiyaa,12-Oct-07,3.88,14.37,23.5,49.1
Bheja Fry,13-Apr-07,0.27,1.22,2.41,8.98
Awarapan,29-Jun-07,0.79,2.88,4.47,7.76
Apne,29-Jun-07,1.89,6.22,10.34,22.07
Aap Ka Surroor – The Moviee,29-Jun-07,1.79,5.25,8.04,12.43
Aaja Nachle,30-Nov-07,1.85,6.16,9.03,14.07
Ghajini,25-Dec-08,0N.A,0N.A,55.16,114
Jumbo,25-Dec-08,0.33,1.16,1.66,2.53
Rab Ne Bana Di Jodi,12-Dec-08,6.76,24.32,41.79,84.68
Dil Kabaddi,05-Dec-08,0.6,2.14,3.27,3.84
Oye Lucky! Lucky Oye!,28-Nov-08,0.7,2.97,4.63,6.72
Yuvvraaj,21-Nov-08,2.88,9.02,12.94,16.89
Dostana,14-Nov-08,5.29,17.53,26.74,44.38
Emi,07-Nov-08,1.03,3.35,4.71,5.03
Fashion,29-Oct-08,2.44,6.78,14.4,26.46
Golmaal Returns,29-Oct-08,5.89,17.56,33.9,51.12
Heroes,24-Oct-08,2.09,6.78,10.38,12.63
Roadside Romeo,24-Oct-08,0.66,2.25,3.39,4.54
Karzzzz,17-Oct-08,2.05,6.24,9.06,10.34
Hello,10-Oct-08,1.97,6.27,9.7,12.11
Kidnap,02-Oct-08,4.88,9.89,15.84,20.5
Drona,02-Oct-08,1.79,4,7.67,8.97
Welcome to Sajjanpur,19-Sep-08,1.13,4.19,6.42,9.81
1920,12-Sep-08,0.89,3.25,5.84,10.48
A Wednesday !,05-Sep-08,0.44,1.92,3.53,11.73
C Kkompany,29-Aug-08,0.73,2.28,3.14,3.49
Rock On!!,29-Aug-08,1.66,6.02,9.59,25.3
Phoonk,22-Aug-08,1.35,4.37,6.64,9.8
Mumbai Meri Jaan,22-Aug-08,0.44,1.57,2.44,3.54
God Tussi Great Ho,15-Aug-08,2.43,6.42,9.85,12.51
Bachna Ae Haseeno,15-Aug-08,4.87,13.15,20.07,36.19
Singh Is Kinng,08-Aug-08,7.24,25.53,39.38,67.91
Ugly Aur Pagli,01-Aug-08,1.32,4.53,6.68,7.13
Money Hai Toh Honey Hai,25-Jul-08,0.69,2.26,3.32,3.88
Mission Istaanbul,25-Jul-08,1.18,3.86,5.36,6.35
Kismat Konnection,18-Jul-08,3.41,11.45,16.81,22.77
Contract,18-Jul-08,0.58,1.9,2.54,2.66
Love Story 2050,04-Jul-08,2.03,6.72,9.73,11.01
Jaane Tu… Ya Jaane Na,04-Jul-08,3.45,12.21,21.01,55.62
Thoda Pyaar Thoda Magic,27-Jun-08,3.34,11.52,16.85,21.67
De Taali,20-Jun-08,1.5,4.83,7.26,8.49
Mere Baap Pehle Aap,13-Jun-08,2.77,9.96,15.27,22.71
Sarkar Raj,06-Jun-08,4.97,16.42,23.83,34.31
Jannat,16-May-08,2.64,8.97,14.24,30.1
Bhoothnath,09-May-08,2.45,8.64,13.62,23.89
Mr. White Mr. Black,02-May-08,0.55,1.78,2.49,2.81
Tashan,25-Apr-08,3.92,1.22,18.68,29.35
Krazzy 4,11-Apr-08,2.73,8.96,13.59,19.59
U Me Aur Hum,11-Apr-08,2.21,7.59,12.08,20.98
One Two Three,28-Mar-08,2.15,7.53,11.46,17.12
Race,21-Mar-08,6.32,21.06,33.33,60.83
Black & White,07-Mar-08,0.55,2.01,3.32,5.31
Jodhaa Akbar,15-Feb-08,3.81,13.32,21.83,56.04
Mithya,08-Feb-08,0.48,1.79,2.99,5.19
Sunday,25-Jan-08,2.31,7.78,12.03,20.3
Halla Bol,11-Jan-08,1.87,6.28,9.27,12.75
Bolo Raam,31-12-2009,N.A.,N.A.,N.A.,0.41
Accident on Hill Road,31-12-2009,N.A.,N.A.,N.A.,0.72
"Raat Gayi, Baat Gayi?",31-12-2009,N.A.,N.A.,N.A.,0.64
3 Idiots,25-12-2009,12.78,40.65,79.07,202.95
World Cupp 2011,18-12-2009,N.A.,N.A.,N.A.,0.11
Paa,04-12-2009,2.15,10.9,16,30.49
Radio,03-12-2009,N.A.,N.A.,N.A.,1.09
De Dana Dan,27-11-2009,0N.A,21.37,34.31,48.01
Kurbaan,20-11-2009,0N.A,11.43,17.34,27.09
Marega Salaa,20-11-2009,N.A.,N.A.,N.A.,0.13
Aao Wish Karein,13-11-2009,0N.A,0N.A,0N.A,0.02
Tum Mile,13-11-2009,0N.A,5.75,9.24,9.28
2012 (English),12-11-2009,0N.A,0N.A,0N.A,63.75
Rocket Singh – Salesman Of The Year,12-11-2009,0N.A,8.6,13.81,16.55
Ajab Prem Ki Ghazab Kahani,06-11-2009,6.64,22.52,35.83,64.6
Jail,06-11-2009,0N.A,0N.A,0N.A,7.69
London Dreams,30-10-2009,0N.A,14.6,23.36,28.96
Aladin,30-10-2009,0N.A,2.93,4.69,5.82
Blue,16-10-2009,5.83,18.07,29.72,38.55
All The Best,16-10-2009,1.82,12.38,22.14,41.41
Main Aurr Mrs Khanna,16-10-2009,1.64,4.42,6.86,7.4
Acid Factory,09-10-2009,0.61,1.93,3.76,3.8
Short Kut – The Con is On,07-10-2009,1.37,4.48,6.51,7.69
Do Knot Disturb,02-10-2009,3.63,9.22,13,16.93
Wake Up Sid,02-10-2009,3.66,10.42,15.68,27.95
What’s Your Raashee?,25-09-2009,1.61,5.95,8.62,10.13
Dil Bole Hadippa!,18-09-2009,3.42,11.82,17.59,23.35
Wanted,18-09-2009,5.1,15.57,33.63,60.24
Fox,04-09-2009,0.59,1.81,2.52,2.87
Aagey Se Right,04-09-2009,0.52,1.71,2.57,3.04
Quick Gun Murugun,28-08-2009,0.27,0.93,1.37,1.87
Daddy Cool,28-08-2009,0.86,2.79,3.99,4.44
Life Partner,14-08-2009,1.58,5.79,9.86,20.67
Kaminey,14-08-2009,4.39,14.82,24.6,41.52
Teree Sang,07-08-2009,0.31,1.08,1.69,1.97
Agyaat,07-08-2009,1.23,3.57,5.18,5.33
Love Aaj Kal,31-07-2009,8.02,27.86,42.8,66.56
Luck,24-07-2009,3.71,11.18,16.49,21.03
Partner,20-07-2009,5.38,16.57,27.74,60.05
Jashnn,17-07-2009,0.61,1.88,2.69,2.84
Kambakkht Ishq,03-07-2009,7.42,22.62,33.1,47.09
New York,26-06-2009,5.62,17.42,27.36,45.39
Paying Guests,19-06-2009,1,3.33,4.64,5.55
Kal Kissne Dekha,12-06-2009,1.03,3.34,4.75,5.67
99,15-05-2009,0.76,2.97,4.56,10.78
8×10 Tasveer,03-04-2009,1.89,6.15,9.16,15.41
Aa Dekhen Zara,27-03-2009,0.85,2.85,4.23,6.16
Ek – The Power of One,27-03-2009,1,3.22,4.71,6.31
Aloo Chaat,20-03-2009,0.56,2,3.11,4.86
Gulaal,13-03-2009,0.75,2.29,3.33,4.31
Jai Veeru,13-03-2009,0.59,1.73,2.48,2.79
13B,06-03-2009,0.88,3.1,4.77,7.37
Dhoondte Reh Jaoge,06-03-2009,0N.A,0N.A,4.74,6.3
Delhi-6,20-02-2009,4.77,15.43,22.2,30.7
Billu,13-02-2009,3.78,12.05,17.53,22.92
Dev D,06-02-2009,1.34,5.34,8.47,15.3
Luck By Chance,30-01-2009,1.72,5.97,9.16,12.25
Raaz – The Mystery Continues,23-01-2009,3.95,11.92,19.58,25.5
Chandni Chowk To China,16-01-2009,5.57,17.87,25.37,29.46
Shaabash! You Can Do It,01-01-2009,N.A.,N.A.,N.A.,N.A.
Love com,01-01-2009,N.A.,N.A.,N.A.,0.17
Trump Card,01-01-2009,N.A.,N.A.,N.A.,0.02
Ada… a way of life,31-12-2010,N.A.,N.A.,N.A.,0.01
Toonpur Ka Superrhero,24-12-2010,N.A.,1.4,2.37,3.55
Isi Life Mein,24-12-2010,N.A.,N.A.,N.A.,1.65
Tees Maar Khan,24-12-2010,13,38.25,49.75,60.91
Kaalo,17-12-2010,N.A.,N.A.,N.A.,0.6
332 Mumbai To India,17-12-2010,N.A.,N.A.,N.A.,0.25
Mirch,17-12-2010,N.A.,N.A.,N.A.,0.89
Payback,17-12-2010,N.A.,N.A.,N.A.,0.25
No Problem,10-12-2010,4.5,16.5,23.43,28
Band Baaja Baaraat,10-12-2010,0.95,5.2,9.4,17.08
Phas Gaye Re Obama,03-12-2010,0.22,1.2,2.05,2.45
Rakht Charitra – 2,03-12-2010,N.A.,N.A.,N.A.,3.86
