Column1,�..Movie.Name,Release.Date,Opening.Day,Opening.Weekend,End.of.Week.1,Lifetime..India.Only..Net.Collection.Crores.in.Release.Year.,�..imdbId,releaseYear,releaseDate,genre,writers,actors,directors,sequel,FirstWeekIMDBRating
648,Trump Card,01-01-2009,0.0024,0.0053856,0.0132,0.02,tt1629424,2010,12-Mar-10,Action | Drama | Mystery,Arshad Khan (screenplay) | Yawer Rehman (screenplay) | Yawer Rehman (script),Vikrum Kumar | Haidar Ali | Urvashi Chaudhary | Mansi Dovhal,Arshad Khan,0,1
661,Unforgettable,13-Jun-14,0.0024,0.00816,0.02,0.02,tt2187167,2014,13-Jun-14,Drama | Romance,Arshad Yusuf Pathan,Usha Bachani | Hazel Croney | Pablo Gonzalez | Patrick Haider,Arshad Yusuf Pathan,0,1
636,The Dirty Relation,14-Jun-13,0.003,0.006732,0.0165,0.025,tt3527144,2013,14-Jun-13,Thriller,N/A,Sanjay Chauhan | Jasleen Matharu | Kanwaljeet Matharu | Kesar Matharu,Kesar Matharu,0,1
7,9 Eleven,07-10-2011,0.0036,0.00816,0.02,0.03,tt1806740,2011,N/A,Thriller,Manan Katohora,Kashmira Shah | Devasish Ray | Jyoti Singh | Sonny Chatrath,Manan Katohora,0,1
128,Chargesheet,30-09-2011,0.0036,0.00816,0.02,0.03,tt1368453,2011,30-Sep-11,Drama | Thriller,N/A,Dev Anand | Divya Dutta | Devshi Khanduri | Hansal Mehta,Dev Anand,0,1
267,Hello Hum Lallann Bol Rahe Hain,15-01-2010,0.0036,0,0.0198,0.03,tt1673391,2010,15-Jan-10,Comedy | Drama,Dilip Shukla,Rajpal Yadav | Preeti Mehra | Makarand Anaspure | Ketki Dave,Dilip Shukla,0,1
295,Idiot Box,19-03-2010,0.0036,0.0080784,0.0198,0.03,tt1612761,2010,19-Mar-10,Comedy | Drama,Ajay Khamosh (dialogues) | Sunanda Mitra | Sameer (lyrics),Sushant Singh | Hrishitaa Bhatt | Milind Gunaji | Upasna Singh,Sunanda Mitra,0,1
148,Cycle Kick,17-06-2011,0.0048,0.00816,0.02,0.04,tt1999857,2011,17-Jun-11,Drama | Sport,Shashi Sudigala,Nishan Nanaiah | Sunny Hinduja | Girija Oak | Ishita Sharma,Shashi Sudigala,0,1
150,Daayen Ya Baayen,29-10-2010,0.0048,0.0107712,0.0264,0.04,tt1668078,2010,29-Oct-10,Comedy | Drama | Family,Bela Negi,Deepak Dobriyal | Manav Kaul | Badrul Islam | Bharti Bhatt,Bela Negi,0,1
398,Login,12-Oct-12,0.0048,0.0408,0.1,0.04,tt2188805,2012,12-Oct-12,Drama | Thriller,Sanjeev Reddy (story),Himanshu Bhatt | Roy Radhika | Akkash Basnet | Rashmi Gautam,Sanjeev Reddy,0,1
589,Shorts,12-Jul-13,0.0048,0.01632,0.04,0.04,tt3257168,2013,12-Jul-13,Drama,N/A,Satyakam Anand | Aparajit Bhattacharjee | Richa Chadda | Aditi Khanna,Neeraj Ghaywan | Siddharth Gupt | Rohit Pandey | Anirban Roy | Shlok Sharma,0,1
710,Zindagi Tere Naam,16-Mar-12,0.0048,0.01224,0.03,0.04,tt2164702,2012,16-Mar-12,Romance,Sanjay Masoom,Mithun Chakraborty | Ranjeeta Kaur | Sajid Ali | Supriya Karnik,Ashu Trikha,0,1
396,Life Express,17-09-2010,0.006,0.013464,0.033,0.05,tt1745753,2010,17-Sep-10,Drama,Shakeel Azmi (lyrics) | Mandira Chakraborty (screenplay) | Anup Das (story) | Shailendra Tyagi (screenplay),Rituparna Sengupta | Kiran Janjani | Yashpal Sharma | Alok Nath,Anup Das,0,1
576,Second Marriage Dot Com,10-Aug-12,0.006,0.01224,0.03,0.05,tt2306721,2012,20-Aug-12,Drama,Gaurav Panjwani (story) | Dinkar Sharma (screenplay),Subhash Ahuja | Syna Anand | Raman Atre | Rajat Bhalla,Gaurav Panjwani,0,1
596,Siyaah..,27-Jul-12,0.006,0.0204,0.05,0.05,tt2234328,2012,11-Jul-12,Horror,Aziz Naser,Habeeb Aidroos | Zarine Ali | Madhulagna Das | Faheem Ul Haq,Aziz Naser,0,1
597,Soch Lo,27-08-2010,0.006,0.013464,0.033,0.05,tt1630613,2010,27-Sep-10,Action | Crime | Drama,Prashant Ingole (lyrics) | Charu Moohan (lyrics) | Sartaj Singh Pannu,Barkha Madan | Iris Maity | Nishan Nanaiah | Sartaj Singh Pannu,Sartaj Singh Pannu,0,1
634,The Camp,11-06-2010,0.006,0.013464,0.033,0.05,tt1912483,2010,11-Jun-10,Adventure | Drama,Shabbir Ahmed (lyrics) | Rohit Gahlowt (screenplay) | Nitin Mahadar (story) | Sudhakar Sharma (lyrics),Sonali Kulkarni | Sanjay Mishra | Rakesh Bedi | Krishna Bhatt,Nitin Mahadar,0,1
601,Sooper Se Ooper,25-Oct-13,0.03,0.023256,0.057,0.057,tt3005850,2013,25-Oct-13,Comedy,Shekhar Ghosh,Tinnu Anand | Mahesh Balraj | Mithilesh Chaturvedi | Vir Das,Shekhar Ghosh,0,1
10,A Strange Love Story,03-06-2011,0.0072,0.0204,0.05,0.06,tt1918650,2011,20-May-11,Drama,Bobby Khan,Gunjan Bakshi | Snehal Dabi | Milind Gunaji | Ehsan Khan,Tarique Khan | Sahil Seth,0,1
53,Angel,11-02-2011,0.0072,0.0161568,0.0396,0.06,tt1825655,2011,04-Feb-11,Action | Drama,Muazzam Beg,Sumit Arora | Arun | Raakesh Babu | Prem Kishen Dwivedi,Ganesh Acharya,0,1
124,Challo Driver,20-Jul-12,0.0072,0.0204,0.05,0.06,tt2251552,2012,20-Jul-12,Comedy,Vickrant Mahajan,Vickrant Mahajan | Kainaz Motivala | Prem Chopra | Deepak Arora,Vickrant Mahajan,0,1
179,Diary of a Butterfly,02-Mar-12,0.0072,0.0204,0.05,0.06,tt1814683,2012,02-Mar-12,Drama,N/A,Nassar Abdulla | Rati Agnihotri | Udita Goswami | Sofia Hayat,Vinod Mukhi,0,1
334,Kaccha Limboo,18-02-2011,0.0072,0.0161568,0.0396,0.06,tt1836015,2011,18-Feb-11,Comedy | Family,Sagar Ballary | Jyoti Kapoor (dialogue) | Manaswini Lata Ravindra,Bhairavi Goswami | Iravati Harshe | Chinmay Kambli | Rajesh Khattar,Sagar Ballary,0,1
394,Le Gaya Saddam,02-Nov-12,0.0072,0.0204,0.05,0.06,tt3211088,2012,02-Nov-12,Comedy,N/A,Shahbaz Baweja | Umesh Gautam | Nandini Jumani | Ravindra Kale,Amjad Khan,0,1
573,Satrangee Parachute,25-02-2011,0.0072,0.0161568,0.0396,0.06,tt1886663,2011,25-Feb-11,Comedy | Drama | Family,Pulakesh Bhowmik (story) | Anupam Mishra (dialogues),Sanjay Mishra | Zakir Hussain | Lilliput | Rupali Ganguly,Vineet Khetrapal,0,1
671,Vroom,14-05-2010,0.0072,0.0161568,0.0396,0.06,tt1937455,2010,14-May-10,Action | Comedy | Crime,Sheetal Ladha (screenplay) | Sameer Rao (concept and story) | Deepak Segal (concept and story) | Savin Tuscano (screenplay) | Amitabh Verma (lyrics),Raj Singh Arora | Gaurav Bajaj | Kalpana Bora | Kishore Chougule,Savin Tuscano,0,1
101,Bloody Isshq,01-Mar-13,0.0084,0.02448,0.06,0.07,tt2404187,2013,01-Mar-13,Romance,Aroti Bhattacharya,Akash | Shilpa Anand | Karan Mehra | Tripta Parashar,Arup Dutta,0,1
122,Chal Bhaag,13-Jun-14,0.0084,0.0204,0.05,0.07,tt3542028,2014,13-Jun-14,Comedy,Tarun Bajaj,Deepak Dobriyal | Keeya Khanna | Sanjay Mishra | Yashpal Sharma,Prakash Saini,0,1
123,Chal Pichchur Banate Hain,07-Sep-12,0.0084,0.02448,0.06,0.07,tt2367056,2012,07-Sep-12,Drama,Pritish Chakraborty,Sagar Bhangade | Mukesh Bhatt | Vipul Bhatt | Manmeet Dhanjal,Pritish Chakraborty,0,1
336,Kahin Hai Mera Pyar,01-May-14,0.0084,0.02856,0.07,0.07,tt3585758,2014,01-May-14,Drama | Musical | Romance,Mahesh Vaijnath Doijode (story) | Mahesh Vaijnath Doijode | Mahesh Vaijnath Doijode,Gajendra Chouhan | Shroff Jackie | Sanjay Kapoor | Sonia Mann,Mahesh Vaijnath Doijode,0,1
434,Meinu Ek Ladki Chaahiye,26-Sep-14,0.0084,0.02856,0.07,0.07,tt3169676,2014,26-Sep-14,Drama,Abhishek | Sekhar Kochgaven,Raghuvir Yadav | Zakir Hussain | Yatin Karyekar | Irfan Raza Khan,Abhishek Bindal,0,1
476,Neighbours,14-Mar-14,0.0084,0.02856,0.07,0.07,tt3592020,2014,14-Mar-14,Horror,Shyam Ramsay,Hritu | Sunny Singh | Gavie Chahal | Arbaaz Ali Khan,Shyam Ramsay,0,1
517,Prague,27-Sep-13,0.0084,0.02856,0.07,0.07,tt2401719,2013,27-Sep-13,Mystery | Romance | Thriller,Rohit Khaitan (conceived by) | Akshendra Mishra (additional screenplay) | Sumit Saxena (screenplay) | Ashish R. Shukla (screenplay) | Ashish R. Shukla (story) | Vijay Verma (additional screenplay),Chandan Roy Sanyal | Arfi Lamba | Kumar Mayank | Sonia Bindra,Ashish R. Shukla,0,1
15,Aalaap,27-Jul-12,0.0096,0.02856,0.07,0.08,tt2243336,2012,27-Jul-12,Sci-Fi,Dilip Shukla,Omkar Das Manikpuri | Ashish Patil | Pitobash | Amit Purohit,Manish Manikpuri,0,1
26,Aashiqui.in,11-02-2011,0.0108,0.0242352,0.0594,0.09,tt1814619,2011,11-Feb-11,Drama | Romance,Shankhadeep,Ishaan Manhaas | Dheeraj Miglani | Priti Gandwani | Shubhi Ahuja,Shankhadeep,0,1
296,Impatient Vivek,07-01-2011,0.0108,0.0242352,0.0594,0.09,tt1948047,2011,07-Jan-11,Comedy | Drama | Romance,Rahat Kazmi (screenplay) | B.K. Tyagi (story),Vivek Sudershan | Sayali Bhagat | Ronnaoq Ahuja | Chari Asopa,Rahat Kazmi,0,1
603,Spark,10-Oct-14,0.03,0.05,0.09,0.09,tt3893476,2014,10-Oct-14,Action,V.K. Singh (story),Rati Agnihotri | Mansha Bahl | Rajneesh Duggal | Shubhashree Ganguli,V.K. Singh,0,1
655,Tutiya Dil,13-Jan-12,0.0108,0.03672,0.09,0.09,tt2224541,2012,13-Jan-12,Romance,Amit Khanna,Sidhant Kapur | Iris Maity | Suzanna Mukherjee | Nikhil Sabharwal,Amit Khanna,0,1
657,U R My Jaan,23-09-2011,0.0108,0.02448,0.06,0.09,tt1847736,2011,23-Sep-11,Romance,Aron Govil,Mikaal | Preeti | Himani Shivpuri | Anil Dhawan,Aron Govil,0,1
78,Bandook,18-Jan-13,0.01152,0.03264,0.08,0.096,tt2318401,2013,18-Jan-13,Crime | Thriller,N/A,Manisha Kelkar | Arshad Khan | Ashish Kotwal | Aditya Om,Aditya Om,0,1
310,Janleva 555,19-Oct-12,0.012,0.0204,0.05,0.1,tt2353824,2012,18-Oct-12,Musical | Romance | Thriller,Manoj Bhoj | Sundeep Malani (story) | Sundeep Malani,Shona Chabra | Raja Hasan | Akash Hora | Mann Hora,Sundeep Malani,0,1
644,Titoo MBA,21-Nov-14,0.012,0.0408,0.1,0.1,tt3309844,2014,21-Nov-14,Comedy,Puja Ballutia (story) | Puja Ballutia (script),Nishant Dahiya | Pragya Jaiswal,Vats Amit,0,1
200,Dus Tola,22-10-2010,0.0132,0.0296208,0.0726,0.11,tt1740670,2010,22-Oct-10,Comedy | Drama,Raghunath Paleri (story) | Sunil Saigal (dialogues),Manoj Bajpayee | Aarti Chhabria | Dilip Prabhavalkar | Govind Namdeo,Ajay Varma,0,1
669,Vikalp,07-01-2011,0.0132,0.0296208,0.0726,0.11,tt1899342,2011,07-Jan-11,Crime | Drama | Mystery,Vishal Vijay Kumar | Kukku Prabhas (lyrics),Pankaj Berry | Abhay Joshi | Jyoti Joshi | Abhijeet Leheri,Sachin P. Karande,0,1
682,World Cupp 2011,18-12-2009,0.0132,0.0296208,0.0726,0.11,tt1591615,2009,18-Dec-09,Crime | Drama | Sport,Ravi Kapoor (story),Ravi Kapoor | Master Sagar Punjabi | Suresh Oberoi | Prem Chopra,Ravi Kapoor,0,1
133,Chhodo Kal Ki Baatein,12-Apr-12,0.0144,0.01632,0.04,0.12,tt2343417,2012,12-Apr-12,Drama,Pramod Joshi (dialogue) | Pramod Joshi (screenplay) | Raz Kazi (dialogue) | Raz Kazi (screenplay),Barkha Bisht | Balaji Iyer | Raghavendra Kadkol | Sachin Khedekar,Pramod Joshi,0,1
139,Cigarette Ki Tarah,14-Dec-12,0.0144,0.04488,0.11,0.12,tt2346744,2012,14-Dec-12,Romance | Thriller,Pradip Atluri | Bobby Khan,Ashok Banthia | Sudesh Berry | Yuvika Chaudhry | Prashant Narayanan,Akashaditya Lama,0,1
414,Maazii,27-Sep-13,0.0156,0.0408,0.1,0.13,tt2554042,2013,27-Sep-13,Thriller,Sumit Nijhawan | Shirish Sharma,Mohammed Zeeshan Ayyub | Ashok Banthia | Devender Chaudhary | Manish Chaudhary,Jaideep Chopra,0,1
647,Trip to Bhangarh,22-Aug-14,0.0168,0.04896,0.12,0.14,tt4187650,2014,28-Aug-14,Horror,N/A,Manish Choudhary | Suzanna Mukherjee | Poonam Pandey,Jitendra Pawar,0,1
71,Baat Bann Gayi,11-Oct-13,0.018,0.04488,0.11,0.15,tt2222716,2013,11-Oct-13,Comedy | Romance,Shuja Ali | Akshay Singh,Anisa Butt | Ali Fazal | Gulshan Grover | Razzak Khan,Shuja Ali,0,1
348,Khap,29-07-2011,0.018,0.04896,0.12,0.15,tt1801521,2011,29-Jul-11,Drama | Thriller,Ashok Lal (script) | Vinod Ranganathan (script) | Ajai Sinha (story) | Ishaan Trivedi (additional dialogue) | Vijay Verma (dialogue),Rahul Jaiswal | Raj Arjun | Mohnish Bahl | Yuvika Chaudhry,Ajai Sinha,0,1
407,Love Recipe,25-May-12,0.018,0.040392,0.099,0.15,tt2332705,2012,05-May-12,Comedy,Shyam Goel | M. Salim | Amol Shetge,Rani Agrawal | Frank M. Ahearn | Suzanne Bernert | Sudha Chandran,Amol Shetge,0,1
497,Paranthe Wali Gali,17-Jan-14,0.05,0.15,0.099,0.15,tt2907156,2014,17-Jan-14,Drama | Romance,Sachin Gupta,Mohinder Gujral | Yuvraj Haral | Vijayant Kohli | Neha Pawar,Sachin Gupta,0,1
110,Bubble Gum,29-07-2011,0.0192,0.04488,0.11,0.16,tt2012576,2011,29-Jul-11,Drama,Rohit Gahlowt (dialogue writer),Apoorva Arora | Apporva Arora | Tanvi Azmi | Delzad Hiwale,Sanjivan Lal,0,1
316,Jigariyaa,10-Oct-14,0.02,0.07,0.16,0.16,tt4010306,2014,10-Oct-14,Drama,Vinod Bachchan | Apratim Khare | Raj Purohit,Deepak Chadha | Harshvardhan Deo | Sneha Deori | Vineeta Malik,Raj Purohit,0,1
469,Nakshatra,29-10-2010,0.0192,0.0430848,0.1056,0.16,tt1935184,2010,29-Oct-10,Crime | Drama | Mystery,Harry Anand (lyrics) | Nawab Arzoo (lyrics) | Rani Malik (lyrics) | Mohan Savalkar,Malaika Arora | Suresh Chatwal | Gajendra Chouhan | Anant Jog,Mohan Savalkar,0,1
609,Sulemani Keeda,28-Nov-14,0.0192,0.04488,0.11,0.16,tt2679480,2014,28-Nov-14,Comedy | Romance,Amit Masurkar,Naveen Kasturia | Mayank Tewari | Aditi Vasudev | Karan Mirchandani,Amit Masurkar,0,1
3,3 Bachelors,06-Jul-12,0.0204,0.0612,0.15,0.17,tt2224254,2012,29-Jun-12,Comedy | Romance,Raghuvir Shekhawat | Ajai Sinha,Sharman Joshi | Negar Khan | Nigaar Khan | Manish Nagpal,Ajai Sinha,0,1
163,Dekh Tamasha Dekh,18-Apr-14,0.0216,0.0612,0.15,0.18,tt3672618,2014,18-Apr-14,Comedy,Shafaat Khan,Satish Kaushik | Tanvi Azmi | Vinay Jain | Sharad Ponkshe,Feroz Abbas Khan,0,1
391,Lakshmi,21-Mar-14,0.0216,0.07344,0.18,0.18,tt2976176,2014,21-Mar-14,Drama,Nagesh Kukunoor,Vibha Chhibber | Ram Kapoor | Satish Kaushik | Gulfam Khan,Nagesh Kukunoor,0,1
136,Chittagong,12-Oct-12,0.0228,0.0612,0.15,0.19,tt1785333,2012,12-Oct-12,Action | Drama | War,Bedabrata Pain | Shonali Bose,Manoj Bajpayee | Barry John | Delzad Hiwale | Vega Tamotia,Bedabrata Pain,0,1
435,Men Will Be Men,29-04-2011,0.0228,0.0511632,0.1254,0.19,tt1907721,2011,29-Apr-11,Comedy,Harsh Khurana,Gaurav Chopra | Zeenal Kamdar | Rajesh Khattar | Rohit Khuranna,Gorky,0,1
600,Sons of Ram,02-Nov-12,0.0228,0.07752,0.19,0.19,tt2317103,2012,02-Nov-12,Animation | Drama | Musical,Kushal Ruia (story) | Vivek Kumar (contributing writer) | Anant Pai (comic book) | Divya Chandel (additional dialogue) | Arnab Kanti Mishra (additional dialogue),Sunidhi Chauhan | Ettienne Couthino | Devansh Doshi | Saptharishi Ghosh,Kushal Ruia,0,1
606,Station,28-Mar-14,0.0228,0.07752,0.19,0.19,tt2191164,2014,28-Mar-14,Crime | Drama | Thriller,Saad Khan (story) | Saad Khan | Saad Khan,Kanika Batra | Gulshan Grover | Rohiet Nair | Sameer Kevin Roy,Saad Khan,0,1
380,Kya Yahi Sach Hai,30-12-2011,0.024,0.07752,0.19,0.2,tt1630590,2011,30-Dec-11,Crime | Drama | Thriller,Y.P. Singh (story),Gurpreet Chadha | Shalini Chandran | T.K. Chowdhary | Kishore Dhingra,Y.P. Singh,0,1
677,Warning,05-08-2011,0.024,0.053856,0.132,0.2,tt3138602,2013,27-Sep-13,Adventure | Thriller,Rajesh Chawla | Tejpal Singh Rawat,Santosh Barmola | Jitin Gulati | Manjari Phadnis | Suzana Rodrigues,Gurmeett Singh,0,1
119,Chaarfutiya Chhokare,26-Sep-14,0.04,0.1,0.21,0.21,tt3021244,2014,26-Sep-14,Drama | Thriller,Manish Harishankar,Soha Ali Khan | Zakir Hussain | Seema Biswas | Mukesh Tiwari,Manish Harishankar,0,1
496,Pankh,02-04-2010,0.0252,0.17,0.17,0.21,tt1124386,2010,02-Apr-10,Drama,Sudipto Chattopadhyay (story) | Sudipto Chattopadhyay,Bipasha Basu | Lillete Dubey | Mahesh Manjrekar | Ronit Roy,Sudipto Chattopadhyay,0,1
690,Yeh Faasley,04-03-2011,0.0264,0.0592416,0.1452,0.22,tt1797548,2011,04-Mar-11,Crime | Drama | Mystery,Arpita Chatterjee (story) | Sameer Kohli (story) | Rajen Makhijani (screenplay) | Rajen Makhijani (story) | Yogesh Mittal (dialogue) | Yogesh Mittal (screenplay) | Yogesh Mittal (story) | Atul Tiwari (dialogue) | Atul Tiwari (screenplay) | Atul Tiwari (story),Rachita Bhattacharya | Seema Biswas | Sudha Chandran | Sanjiv Chopra,Yogesh Mittal,0,1
318,Jo Hum Chahein,16-12-2011,0.0276,0.09384,0.23,0.23,tt2112978,2011,16-Dec-11,Drama | Romance,Pawan Gill | Rashmi Kulkarni (dialogue),Sunny Gill | Simran Kaur Mundi | Alyy Khan | Achint Kaur,Pawan Gill,0,1
459,My Friend Ganesha 3,26-03-2010,0.0276,0.0619344,0.1518,0.23,tt1796564,2010,26-Mar-10,Animation | Comedy | Drama,Shabbir Ahmed (lyrics) | Rajiv S. Ruia (story) | S. Sachindra,Makarand Anaspure | Krishna Bhatt | Sonika Gill | Eva Grover,Rajiv S. Ruia,1,1
598,Sona Spa,22-Mar-13,0.0276,0.09384,0.23,0.23,tt2609468,2013,22-Mar-13,Drama | Mystery | Thriller,Makrand Deshpande,Nivedita Bhattacharya | Devyani | Shailesh Hejmady | Neha Iyyer,Makrand Deshpande,0,1
683,Ya Rab,07-Feb-14,0.0276,0.06936,0.17,0.23,tt3303416,2014,07-Feb-14,Drama,N/A,Indrapal Ahuja | Neha Baam | Vikram Dahiya | Rakesh Deewana,Hasnain Hyderabadwala,0,1
501,Payback,17-12-2010,0.03,0.06732,0.165,0.25,tt1740017,2010,26-Nov-10,Action | Crime | Drama,Upendra Sidhaye | Dev Sikandar (lyrics),Gulshan Grover | Munish Khan | Zakir Hussain | Mukesh Tiwari,Sachin P. Karande,0,1
695,Yeh Jo Mohabbat Hai,03-Aug-12,0.0312,0.08976,0.22,0.26,tt2155776,2012,03-Aug-12,Drama,Dilip Shukla,Rati Agnihotri | Mohnish Bahl | Nazia Hussain | Farida Jalal,Shree Narayan Singh,0,1
405,Love Express,10-06-2011,0.0324,0.0612,0.15,0.27,tt1964886,2011,10-Jun-11,Comedy | Drama,Kumaar (lyrics),Sahil Mehta | Mannat Ravi | Vikas Katyal | Priyam Galav,Sunny Bhambhani,0,1
410,Lucky Kabootar,18-Apr-14,0.0324,0.08976,0.22,0.27,tt2612924,2014,18-Apr-14,Comedy,Shammi Chhabra | Shyam Goel,Shradha Das | Eijaz Khan | Ravi Kishan | Atul Mathur,Shammi Chhabra,0,1
524,Qasam Se Qasam Se,15-Jun-12,0.0324,0.08976,0.22,0.27,tt1852076,2012,15-Jun-12,Romance,Dr. Moauzzam Azam | Ravi | Nazim Hassan Rizvi,Faith | Farhan | Satish Kaushik | Omkar Das Manikpuri,Ashfaque Makrani,0,1
72,Babloo Happy Hai,07-Feb-14,0.0348,0.09384,0.23,0.29,tt3426144,2014,07-Feb-14,Comedy | Drama | Romance,Sanjay Chauhan | Deepak Venkatesha (additional screenplay & dialogue),Sahil Anand | Parvin Dabas | Erica Fernandes | Preet Kamal,Nila Madhab Panda,0,1
96,Bird Idol,23-04-2010,0.0348,0.0780912,0.1914,0.29,tt1633171,2010,23-Apr-10,Animation,Dev Goel | Jyotin Goel,N/A,Jyotin Goel,0,1
458,Muskurake Dekh Zara,23-04-2010,0.036,0.080784,0.198,0.3,tt1607600,2010,26-Mar-10,Comedy | Horror | Romance,Anurag Kashyap,Mukesh Bhatt | Rajshree Choudhary | Arijit Sen Gupta | Om Katare,P. Som Shekar,0,1
663,United Six,04-02-2011,0.036,0.080784,0.198,0.3,tt1821692,2011,04-Feb-11,Action | Drama | Thriller,Kapil Mishra | Vishal Aryan Singh,Brahim Achabbakhe | Russell Geoffrey Banks | Leigh Barwell | Isha Batwe,Vishal Aryan Singh,0,1
397,Life Ki Toh Lag Gayi,27-Apr-12,0.0384,0.11016,0.27,0.32,tt2327389,2012,20-Apr-12,Comedy,Rakesh Mehta,Kay Kay Menon | Ranvir Shorey | Pradhuman Singh | Neha Bhasin,Rakesh Mehta,0,1
590,Shree,26-Apr-13,0.0384,0.13056,0.32,0.32,tt2826126,2013,26-Apr-13,Sci-Fi,Rajesh Bachchani,Hussain Kuwajerwala | Paresh Ganatra | Rio Kapadia | Shivani Tanksale,Rajesh Bachchani,0,1
419,Main Aur Mr. Riight,12-Dec-14,0.04,0.15,0.29,0.33,tt2216852,2014,12-Dec-14,Comedy | Romance,N/A,Barun Sobti | Shenaz Treasury | Kavi Shastri | Danny Sura,Adeeb Rais,0,1
664,Utt Pataang,04-02-2011,0.0396,0.0888624,0.2178,0.33,tt1809399,2011,01-Feb-11,Comedy | Drama,Arun Kumar (lyrics) | Rohit Sharma (lyrics) | Saurabh Shukla (dialogues) | Saurabh Shukla (screenplay) | Srikanth Velagaleti (screenplay) | Srikanth Velagaleti (story),Vinay Pathak | Saurabh Shukla | Mahie Gill | Mona Singh,Srikanth Velagaleti,0,1
