Movie Name,Release Date,Opening Day,Opening Weekend,End of Week 1,Lifetime- India Only (Net Collection Crores in Release Year)
Guardians,20Jun2014,N.A.,N.A.,0.01,0.01
The Untold Story Aahinsa,20Jun2014,N.A.,N.A.,0.01,0.01
Chal Bhaag,13Jun2014,0N.A,0N.A,0.05,0.07
Nari Teri Shakti Anokhi,13Jun2014,N.A.,N.A.,0.01,0.01
Machhli Jal Ki Rani Hai,13Jun2014,N.A.,N.A.,1.08,1.35
Unforgettable,13Jun2014,N.A.,N.A.,0.02,0.02
18.11 (A code of Secrecy…!),13Jun2014,N.A.,N.A.,0.012,0.012
Fugly,13Jun2014,2.95,9.34,11.57,12.28
Holiday – A Soldier Is Never Off Duty,06Jun2014,12.18,41.32,68.65,112.45
Filmistaan,06Jun2014,0.51,2.81,4.91,6.28
Kuku Mathur Ki Jhand Ho Gayi,30May2014,0.33,1.32,2.07,2.15
Citylights,30May2014,0.7,3.57,6,8.51
Heropanti,23May2014,6.63,21.33,35.91,52.92
Mighty Raju – Rio Calling,16May2014,0N.A,0N.A,0.76,1.18
The Xpose,16May2014,2.97,10.97,18.61,22.77
M3-Midsummer Midnight Mumbai,16May2014,0N.A,0N.A,0.25,0.25
Children of War,16May2014,0N.A,0N.A,0.61,0.62
Hawaa Hawaai,09May2014,0.8,4.25,7.7,10.42
Mastram,09May2014,0.5,2.08,3.25,3.35
Manjunath,09May2014,0.2,0N.A,1,1
Khwaabb,09May2014,0.2,0N.A,0.75,0.75
Yeh Hai Bakrapur,09May2014,0.2,N.A.,0.7,0.7
Koyelaanchal,09May2014,0.45,1.42,2.15,2.25
Kya Dilli Kya Lahore,02May2014,0.08,0.22,0.69,0.69
Purani Jeans,02May2014,0.32,1.1,1.17,1.19
Angry Young Man,01May2014,0N.A,0N.A,0.02,0.02
Kahin Hai Mera Pyar,01May2014,N.A.,N.A.,0.07,0.07
Samrat & Co.,25Apr2014,0.23,0.82,1.26,1.29
Revolver Rani,25Apr2014,1.5,6.5,8.45,10.34
Kaanchi…,25Apr2014,0.75,2.36,3.77,3.9
Lucky Kabootar,18Apr2014,N.A.,N.A.,0.22,0.27
Dekh Tamasha Dekh,18Apr2014,N.A.,N.A.,0.15,0.18
2 States,18Apr2014,12.42,38.06,60.73,102.13
Bhoothnath Returns,11Apr2014,4.07,18.02,30.14,39.54
Main Tera Hero,04Apr2014,6.6,22.73,38.48,50.6
Jal,04Apr2014,0.1,0.5,0.55,0.55
Honour Killing,04Apr2014,N.A.,N.A.,0.15,0.15
Ebn-e-Batuta,04Apr2014,N.A.,N.A.,0.01,0.01
Dishkiyaoon,28Mar2014,1.03,3.5,4.97,5.23
Station,28Mar2014,N.A.,N.A.,0.19,0.19
Youngistaan,28Mar2014,0.98,4,6.13,6.91
O Teri,28Mar2014,0.9,2.25,3.3,3.46
Ankhon Dekhi,21Mar2014,0N.A,0N.A,0.64,0.74
Gang of Ghosts,21Mar2014,N.A.,N.A.,1.55,1.7
Lakshmi,21Mar2014,0N.A,0N.A,0.18,0.18
Ragini MMS – 2,21Mar2014,8.43,24.5,39.38,45.99
Bewakoofiyaan,14Mar2014,2.23,7.31,12.77,14.01
Neighbours,14Mar2014,0N.A,0N.A,0.07,0.07
W,14Mar2014,N.A.,N.A.,0.04,0.04
Total Siyapaa,07Mar2014,1.11,4.09,5.77,5.94
Gulaab Gang,07Mar2014,2.41,8.84,12.54,14.58
Queen,07Mar2014,1.8,10,18.8,61
Shaadi Ke Side Effects,28Feb2014,5.7,34.23,30.83,37.36
Anuradha,28Feb2014,N.A.,N.A.,N.A.,0.015
Highway,21Feb2014,3.42,13.97,22.38,30.61
Dee Saturday Night,21Feb2014,N.A.,N.A.,0.35,0.37
Darr @The Mall,21Feb2014,1.1,3.8,4.8,4.95
Gunday,14Feb2014,16.12,43.93,63.08,78.6
Babloo Happy Hai,07Feb2014,N.A.,N.A.,0.23,0.29
Hasee Toh Phasee,07Feb2014,4.65,18.4,28.55,37.4
Ya Rab,07Feb2014,0N.A,0N.A,0.17,0.23
Heartless,07Feb2014,N.A.,0.75,1.08,1.19
One By Two,31Jan2014,0.6,1.91,2.59,2.63
Jai Ho,24Jan2014,17.75,60.68,88.78,116
Miss Lovely,17Jan2014,0.15,0.49,0N.A,0.49
Karle Pyaar Karle,17Jan2014,0.3,0.7,1.17,1.24
Strings Of Passion,17Jan2014,N.A.,N.A.,0.01,0.01
Paranthe Wali Gali,17Jan2014,0.05,0.15,N.A.,0.15
Dedh Ishqiya,10Jan2014,3,12,19.64,27.5
Yaariyan,10Jan2014,5.75,19.2,31.5,40.14
Sholay 3D,03Jan2014,1.5,6.3,8.43,11.39
Mr Joe B. Carvalho,03Jan2014,0.65,2,2.95,3.08
