Movie Name,Release Date,Opening Day,Opening Weekend,End of Week 1,Lifetime- India Only (Net Collection Crores in Release Year)
Ferrari Ki Sawaari,15Jun2012,3.04,13.91,20.96,28.1
Chakradhaar,15Jun2012,N.A.,N.A.,0.27,0.49
Shanghai,08Jun2012,3.35,12.1,17.5,19.73
Rowdy Rathore,01Jun2012,15.1,48.3,79.52,133.25
Arjun – The Warrior Prince,25May2012,0N.A,1.1,1.36,1.52
Chutki Bajaa Ke,25May2012,N.A.,N.A.,N.A.,0.01
Yeh Khula Aasmaan,25May2012,N.A.,N.A.,0.23,0.29
Rakhtbeej,25May2012,0N.A,0N.A,0.14,0.27
Love Recipe,25May2012,N.A.,N.A.,N.A.,0.15
MLA,25May2012,N.A.,N.A.,0.05,0.07
"Love, Wrinkle-free",25May2012,N.A.,N.A.,0.06,0.09
Mr. Bhatti On Chutti,18May2012,N.A.,N.A.,0.01,0.01
Department,18May2012,0N.A,8.25,11.8,11.79
Dangerous Ishhq,11May2012,1.1,3.35,6.3,6.3
The Forest,11May2012,N.A.,N.A.,0.02,0.11
Ishaqzaade,11May2012,4.54,15.91,25.73,45.73
Love Lies & Seeta,04May2012,N.A.,N.A.,N.A.,N.A.
Jannat 2,04May2012,8.52,24.03,35.55,42.5
Fatso,04May2012,N.A.,N.A.,0.13,0.15
Tezz,27Apr2012,3.5,11.08,14.9,15.42
Life Ki Toh Lag Gayi,27Apr2012,0N.A,0N.A,0.27,0.32
Vicky Donor,20Apr2012,1.8,7.4,12.5,35.5
Hate Story,20Apr2012,2.1,6.6,11,13.55
Bittoo Boss,13Apr2012,0.4,1.3,1.9,2.12
Ab Hoga Dharna Unlimited,13Apr2012,N.A.,N.A.,N.A.,0.04
Chhodo Kal Ki Baatein,12Apr2012,0N.A,0N.A,0.04,0.12
Key Club,06Apr2012,N.A.,N.A.,0.01,0.94
Housefull 2,06Apr2012,14,42.5,64,106
Bumboo,30Mar2012,N.A.,N.A.,0.35,0.39
Blood Money,30Mar2012,1.84,5.69,9,9.05
Jhansi Ki Rani,30Mar2012,N.A.,N.A.,0,0.05
Agent Vinod,23Mar2012,9.8,30.15,38.65,43.29
Chaurahen-Crossroads,16Mar2012,0N.A,0N.A,0.01,0.01
Zindagi Tere Naam,16Mar2012,N.A.,N.A.,0.03,0.04
Chaar Din Ki Chandni,09Mar2012,N.A.,3.69,5.06,6.09
Kahaani,09Mar2012,2.95,13.83,24.15,51.55
Diary of a Butterfly,02Mar2012,0N.A,0N.A,0.05,0.06
Paan Singh Tomar,02Mar2012,0.85,4.25,7.54,12
Will You Marry Me?,02Mar2012,N.A.,N.A.,0.31,0.32
London Paris New York,02Mar2012,1.06,4.07,6.12,6.44
Tere Naal Love Ho Gaya,24Feb2012,1.9,7.8,13,20.08
Jodi Breakers,24Feb2012,1.5,6,8.5,9.43
?,17Feb2012,N.A.,N.A.,0.27,0.31
Ekk Deewana Tha,17Feb2012,1.03,3.56,5.94,5.97
Ek Main Aur Ekk Tu,10Feb2012,5.25,21.25,32.75,39.75
Valentine’s Night,10Feb2012,N.A.,N.A.,0.03,0.04
Gali Gali Chor Hai,03Feb2012,N.A.,3.25,4.38,4.83
Love You To Death,03Feb2012,N.A.,N.A.,0.03,0.06
Agneepath,26Jan2012,23,67.5,91.05,115
Phir Aik Sazish,20Jan2012,N.A.,N.A.,0.03,0.04
Chaalis Chauraasi,13Jan2012,N.A.,N.A.,2,2.58
Sadda Adda,13Jan2012,0N.A,0N.A,0.3,0.34
Ghost,13Jan2012,N.A.,N.A.,6.74,7.93
Tutiya Dil,13Jan2012,0N.A,0N.A,0.09,0.09
Players,06Jan2012,4.7,15.05,21.75,28.93
Malegaon Ka Spiderman,30Nov2011,N.A.,N.A.,0.03,0.04
