directorId,directorName,movieCount,NormalizedMovieRank,PeakSearchHits(GoogleHits/Month),NormalizedRating
43,Anubhav Sinha,6,3.01315999,64100,3.056600094
44,Raj Kanwar,5,2.989470005,75400,3.049900055
45,Anurag Kashyap,8,1.710530043,928000,3.040780067
46,Krishna D.K.,3,2.421050072,418000,2.993000031
47,Vikram Bhatt,16,2.421050072,356000,2.90282011
48,Dibakar Banerjee,5,2.847369909,42300,2.8629601
49,Shashilal K. Nair,3,2.894740105,1480,2.849849939
50,Rohan Sippy,4,2.776319981,37000,2.785850048
51,Sangeeth Sivan,6,2.776319981,11100,2.748179913
52,Rajkumar Santoshi,7,2.72555995,42300,2.743989944
53,Sagar Ballary,4,2.776319981,5480,2.740010023
54,Habib Faisal,3,2.421050072,244000,2.739929914
55,Satish Kaushik,9,2.578949928,97300,2.680779934
56,Sujoy Ghosh,4,2.598680019,59100,2.644490004
57,Deepak S. Shivdasani,3,2.657890081,14700,2.63774991
58,Milind Ukey,3,2.657890081,3030,2.620779991
59,Dev Anand,4,1,1060000,2.53876996
60,Raj Nidimoru,3,2.421050072,29900,2.428529978
61,Kookie V. Gulati,3,2.421050072,1220,2.386810064
62,Mani Shankar,5,1.568420053,542000,2.340559959
63,Nikhil Advani,5,2.278949976,53700,2.324340105
64,Pradeep Sarkar,3,2.184210062,67500,2.25187993
65,Ken Ghosh,3,2.421050072,0,2.191459894
66,Samir Karnik,6,2.184210062,9420,2.167409897
67,Arshad Khan,3,1,786000,2.140249968
68,Govind Menon,4,2.065789938,58700,2.12342
69,Rajat Kapoor,3,1.710530043,278000,2.095380068
70,Rajat Mukherjee,3,1.947370052,75000,2.031460047
71,Apoorva Lakhia,6,1.828950047,18700,1.833909988
72,Anant Mahadevan,8,1.79934001,24800,1.813860059
73,Sriram Raghavan,3,1.710530043,79500,1.80666995
74,Dharmesh Darshan,3,1.710530043,23200,1.724789977
75,Aditya Datt,4,1.710530043,11400,1.707620025
76,Suneel Darshan,4,1.710530043,10300,1.706019998
77,Shashant Shah,3,1.710530043,3160,1.695639968
78,Sudhir Mishra,5,1.426319957,149000,1.630159974
79,Harry Baweja,6,1.592110038,28300,1.616539955
80,Tigmanshu Dhulia,5,1.568420053,36900,1.605909944
81,Kundan Shah,3,1.473680019,95800,1.599050045
82,Deepak Tijori,5,1.568420053,24800,1.588310003
83,Shashanka Ghosh,4,1.532889962,32800,1.565250039
84,Rahul Rawail,3,1.473680019,9400,1.47337997
85,Raksha Mistry,3,1.473680019,6560,1.469249964
86,Nagesh Kukunoor,8,1.444079995,25900,1.468459964
87,Mahesh Manjrekar,9,1.394739985,57600,1.46638
88,Suparn Verma,3,1.473680019,4190,1.465800047
89,Ashwini Chaudhary,4,1.355260015,71100,1.447460055
90,Hansal Mehta,5,1.426319957,22800,1.446609974
91,Karan Razdan,5,1.426319957,13800,1.433519959
92,Eeshwar Nivas,6,1.355260015,35100,1.395099998
93,Hasnain Hyderabadwala,4,1.355260015,1780,1.346629977
94,Subhash Ghai,4,1.177629948,96200,1.310469985
95,Guddu Dhanoa,5,1.284209967,5370,1.282459974
96,Kabir Sadanand,3,1.23684001,13900,1.248600006
97,Kanti Shah,6,1.118420005,93300,1.248409986
98,Robby Grewal,3,1.23684001,3150,1.232959986
99,Hriday Shetty,3,1.23684001,3100,1.23289001
100,Anant Balani,3,1.23684001,2300,1.231719971
101,Kabeer Kaushik,4,1.177629948,41500,1.230909944
102,Amol Shetge,3,1.23684001,1710,1.230870008
103,Pankaj Parashar,4,1.177629948,29400,1.213310003
104,N/A,7,1.406020045,0,1.200039983
105,Rajiv S. Ruia,6,1.118420005,6430,1.122069955
106,Ashu Trikha,6,1.118420005,4020,1.118559957
107,Tanuja Chandra,3,1,64400,1.090710044
108,Mehul Kumar,3,1,52400,1.07325995
109,Ashok Tyagi,3,1,51200,1.071519971
110,Chandan Arora,3,1,45900,1.063809991
111,Rahat Kazmi,3,1,39500,1.054499984
112,Raj N. Sippy,3,1,29700,1.040240049
113,Ajai Sinha,3,1,14800,1.018569946
114,Shyam Ramsay,3,1,9930,1.011489987
115,Jag Mundhra,3,1,6710,1.00680995
116,Kalpana Lajmi,3,1,4380,1.003419995
117,Ajay Chandhok,4,1,2420,1.000570059
118,Puneet Sira,3,1,2030,1
